Name,ID,URL,Date,Time,Venue,City,Country,Latitude,Longitude,Genre,SubGenre,PriceRange,Currency
New York Giants vs. Baltimore Ravens,k7vGFbahj7VUJ,https://www.ticketmaster.com/new-york-giants-vs-baltimore-ravens-east-rutherford-new-jersey-12-15-2024/event/00006096DC134DA6,2024-12-15,13:00:00,MetLife Stadium,East Rutherford,United States Of America,40.81359,-74.074493,Football,NFL,95.0,USD
Chicago Bears vs. Seattle Seahawks,vv1A7Zkv0GkeNgvfv,https://www.ticketmaster.com/chicago-bears-vs-seattle-seahawks-chicago-illinois-12-26-2024/event/04006064A3D41501,2024-12-26,19:15:00,Soldier Field,Chicago,United States Of America,41.86205404,-87.61682143,Football,NFL,130.0,USD
Houston Texans vs. Miami Dolphins,G5dIZbaugDsRe,https://www.ticketmaster.com/houston-texans-vs-miami-dolphins-houston-texas-12-15-2024/event/3A00609375EF1BC2,2024-12-15,12:00:00,NRG Stadium,Houston,United States Of America,29.684885,-95.410875,Football,NFL,135.0,USD
Miami Dolphins v San Francisco 49ers,vvG1VZbal1m0Om,https://www.ticketmaster.com/miami-dolphins-v-san-francisco-49ers-miami-florida-12-22-2024/event/0D00609ACABA482E,2024-12-22,16:25:00,Hard Rock Stadium,Miami,United States Of America,25.957928,-80.238866,Football,NFL,200.0,USD
NBA Cup: Los Angeles Lakers vs. OKC Thunder,G5eYZb8BApZE0,https://www.ticketmaster.com/nba-cup-los-angeles-lakers-vs-los-angeles-california-11-29-2024/event/2C00610E855809E4,2024-11-29,19:00:00,Crypto.com Arena,Los Angeles,United States Of America,34.043003,-118.267253,Basketball,NBA,120.0,USD
Tampa Bay Buccaneers vs. Carolina Panthers,vvG1VZb69x4NSe,https://www.ticketmaster.com/tampa-bay-buccaneers-vs-carolina-panthers-tampa-florida-12-29-2024/event/0D006075E2563CC2,2024-12-29,13:00:00,Raymond James Stadium,Tampa,United States Of America,27.975976,-82.503474,Football,NFL,77.0,USD
Atlanta Hawks vs Los Angeles Lakers,vvG1zZb8hNzgd0,https://www.ticketmaster.com/atlanta-hawks-vs-los-angeles-lakers-atlanta-georgia-12-06-2024/event/0E006106E3E350E4,2024-12-06,19:30:00,State Farm Arena,Atlanta,United States Of America,33.757796,-84.394569,Basketball,NBA,89.0,USD
Dallas Cowboys vs. Cincinnati Bengals,vvG1YZbaLwV0eD,https://www.ticketmaster.com/dallas-cowboys-vs-cincinnati-bengals-arlington-texas-12-09-2024/event/0C006097F2D240BB,2024-12-09,19:15:00,AT&T Stadium,Arlington,United States Of America,32.74790427,-97.09345578,Football,NFL,,
Miami Dolphins v New York Jets,vvG1VZbal1n0Of,https://www.ticketmaster.com/miami-dolphins-v-new-york-jets-miami-florida-12-08-2024/event/0D00609ACAAA4814,2024-12-08,13:00:00,Hard Rock Stadium,Miami,United States Of America,25.957928,-80.238866,Football,NFL,150.0,USD
New York Giants vs. New Orleans Saints,k7vGFbahj5fzd,https://www.ticketmaster.com/new-york-giants-vs-new-orleans-east-rutherford-new-jersey-12-08-2024/event/00006096DC2D4E03,2024-12-08,13:00:00,MetLife Stadium,East Rutherford,United States Of America,40.81359,-74.074493,Football,NFL,90.0,USD
